name,abbr,liver,kidney,smiles,inchikey,connectivity
ciprofloxacin,CPX,True,True,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,MYSWGUAQZAJSOK
cisplatin,CSP,True,True,N.N.Cl[Pt]Cl,QGZKDVFQNNGYKY-UHFFFAOYSA-N,QGZKDVFQNNGYKY
clofibrate,CFB,True,True,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,KNHUKKLJHYUCFP-UHFFFAOYSA-N,KNHUKKLJHYUCFP
clomipramine,CPM,True,False,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,GDLIGKIOYRNHDA-UHFFFAOYSA-N,GDLIGKIOYRNHDA
clozapine,CZP,False,False,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,QZUDBNBUXVUHMW-UHFFFAOYSA-N,QZUDBNBUXVUHMW
colchicine,COL,True,False,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,IAKHMKGGTNLKSZ-INIZCTEOSA-N,IAKHMKGGTNLKSZ
coumarin,CMA,True,False,C1=CC=C2C(=C1)C=CC(=O)O2,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,ZYGHJZDHTFUPRJ
cycloheximide,CHX,True,False,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,YPHMISFOHDHNIV-FSZOTQKASA-N,YPHMISFOHDHNIV
cyclophosphamide,CPA,True,True,C1CNP(=O)(OC1)N(CCCl)CCCl,CMSMOCZEIVJLDB-UHFFFAOYSA-N,CMSMOCZEIVJLDB
cyclosporine A,CSA,True,True,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR
danazol,DNZ,True,False,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,POZRVZJJTULAOH-LHZXLZLDSA-N,POZRVZJJTULAOH
dantrolene,DTL,True,False,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],OZOMQRBLCMDCEG-VIZOYTHASA-N,OZOMQRBLCMDCEG
desmopressin acetate,DDAVP,True,True,CC(=O)O.C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N,NFLWUMRGJYTJIN-PNIOQBSNSA-N,NFLWUMRGJYTJIN
dexamethasone,DEX,True,False,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,UREBDLICKHMUKA
diazepam,DZP,True,False,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE
diclofenac,DFNa,True,False,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,DCOPUUMXTXDBNB
diethyl maleate,DEM,True,False,CCOC(=O)/C=C\C(=O)OCC,IEPRKVQEAMIZSS-WAYWQWQTSA-N,IEPRKVQEAMIZSS
diltiazem,DIL,True,False,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,HSUGRBWQSSZJOP-RTWAWAEBSA-N,HSUGRBWQSSZJOP
disopyramide,DIS,True,False,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,UVTNFZQICZKOEM
disulfiram,DSF,True,False,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,AUZONCFQVSMFAP
doxorubicin,DOX,True,True,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,AOJJSUZBOXZQNB-TZSSRYMLSA-N,AOJJSUZBOXZQNB
enalapril,ENA,True,True,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,GBXSMTUPTTWBMN-XIRDDKMYSA-N,GBXSMTUPTTWBMN
erythromycin ethylsuccinate,EME,True,True,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)OC(=O)CCC(=O)OCC)(C)O)C)C)O)(C)O,NSYZCCDSJNWWJL-YXOIYICCSA-N,NSYZCCDSJNWWJL
ethambutol,EBU,True,False,CC[C@@H](CO)NCCN[C@@H](CC)CO,AEUTYOVWOVBAKS-UWVGGRQHSA-N,AEUTYOVWOVBAKS
ethanol,ETN,True,False,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ
