name,smiles,inchikey,connectivity
BENZETHONIUM CHLORIDE,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],SIYLLGKDQZGJHK-UHFFFAOYSA-N,SIYLLGKDQZGJHK
BENZOCAINE,CCOC(=O)C1=CC=C(C=C1)N,BLFLLBZGZJTVJG-UHFFFAOYSA-N,BLFLLBZGZJTVJG
BENZOIC ACID,C1=CC=C(C=C1)C(=O)O,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WPYMKLBDIGXBTP
BENZOTHIAZYL DISULFIDE,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,AFZSMODLJJCVPP-UHFFFAOYSA-N,AFZSMODLJJCVPP
BENZYL ACETATE,CC(=O)OCC1=CC=CC=C1,QUKGYYKBILRGFE-UHFFFAOYSA-N,QUKGYYKBILRGFE
BETA-ESTRADIOL,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,VOXZDWNPVJITMN-ZBRFXRBCSA-N,VOXZDWNPVJITMN
BETA-ESTRADIOL 3-BENZOATE,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)OC(=O)C5=CC=CC=C5,UYIFTLBWAOGQBI-BZDYCCQFSA-N,UYIFTLBWAOGQBI
BETA-NAPHTHOFLAVONE,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,OUGIDAPQYNCXRA-UHFFFAOYSA-N,OUGIDAPQYNCXRA
BETAHISTINE,CNCCC1=CC=CC=N1,UUQMNUMQCIQDMZ-UHFFFAOYSA-N,UUQMNUMQCIQDMZ
BETAMETHASONE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-DVTGEIKXSA-N,UREBDLICKHMUKA
BEZAFIBRATE,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,IIBYAHWJQTYFKB-UHFFFAOYSA-N,IIBYAHWJQTYFKB
BIS(2-ETHYLHEXYL)PHTHALATE,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,BJQHLKABXJIVAM
BISACODYL,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,KHOITXIGCFIULA-UHFFFAOYSA-N,KHOITXIGCFIULA
BISPHENOL A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,IISBACLAFKSPIT-UHFFFAOYSA-N,IISBACLAFKSPIT
BITHIONOL,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,JFIOVJDNOJYLKP-UHFFFAOYSA-N,JFIOVJDNOJYLKP
BLEOMYCIN A2,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,OYVAGSVQBOHSSS-UAPAGMARSA-O,OYVAGSVQBOHSSS
BROMFENAC,C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)O,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,ZBPLOVFIXSTCRZ
BROMHEXINE,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH
BROMISOVALUM,CC(C)C(C(=O)NC(=O)N)Br,CMCCHHWTTBEZNM-UHFFFAOYSA-N,CMCCHHWTTBEZNM
BROMOBENZENE,C1=CC=C(C=C1)Br,QARVLSVVCXYDNA-UHFFFAOYSA-N,QARVLSVVCXYDNA
BROMODICHLOROMETHANE,C(Cl)(Cl)Br,FMWLUWPQPKEARP-UHFFFAOYSA-N,FMWLUWPQPKEARP
BUFLOMEDIL,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,OWYLAEYXIQKAOL-UHFFFAOYSA-N,OWYLAEYXIQKAOL
BUPROPION,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,SNPPWIUOZRMYNY
BUSPIRONE,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,QWCRAEMEVRGPNT-UHFFFAOYSA-N,QWCRAEMEVRGPNT
BUSULFAN,CS(=O)(=O)OCCCCOS(=O)(=O)C,COVZYZSDYWQREU-UHFFFAOYSA-N,COVZYZSDYWQREU
BUTENAFINE,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,ABJKWBDEJIDSJZ
BW-723C86,CC(CC1=CNC2=C1C=C(C=C2)OCC3=CC=CS3)N.Cl,ALFGDCNSEBJYSP-UHFFFAOYSA-N,ALFGDCNSEBJYSP
CADMIUM ACETATE,CC(=O)[O-].CC(=O)[O-].[Cd+2],QTBSBXVTEAMEQO-UHFFFAOYSA-N,QTBSBXVTEAMEQO
CADMIUM CHLORIDE,Cl[Cd]Cl,WLZRMCYVCSSEQC-UHFFFAOYSA-N,WLZRMCYVCSSEQC
CAFFEINE,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N,RYYVLZVUVIJVGH
CALCITRIOL,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,GMRQFYUYWCNGIN-NKMMMXOESA-N,GMRQFYUYWCNGIN
CAMPTOTHECIN,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,VSJKWCGYPAHWDS-FQEVSTJZSA-N,VSJKWCGYPAHWDS
CANDESARTAN,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,HTQMVQVXFRQIKW-UHFFFAOYSA-N,HTQMVQVXFRQIKW
CAPSAICIN,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,YKPUWZUDDOIDPM-SOFGYWHQSA-N,YKPUWZUDDOIDPM
CAPTOPRIL,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,FAKRSMQSSFJEIM-RQJHMYQMSA-N,FAKRSMQSSFJEIM
CARBACHOL,C[N+](C)(C)CCOC(=O)N.[Cl-],VPJXQGSRWJZDOB-UHFFFAOYSA-O,VPJXQGSRWJZDOB
CARBAMAZEPINE,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,FFGPTBGBLSHEPO-UHFFFAOYSA-N,FFGPTBGBLSHEPO
CARBIMAZOLE,CCOC(=O)N1C=CN(C1=S)C,CFOYWRHIYXMDOT-UHFFFAOYSA-N,CFOYWRHIYXMDOT
