sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1393943,CVD040520-019_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_5 d_Male_96582.CEL,Allyl Alcohol,16 mg/kg,5 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393944,S011106-228_INTRAVENOUS_SALINE_1 d_Male_96583.CEL,,0 mg/kg,1 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393945,S011002-028_INTRAPERITONEAL_SALINE_1 d_Male_96584.CEL,,0 mg/kg,1 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393946,S011002-246_ALLYL ALCOHOL_16 mg/kg_INTRAPERITONEAL_SALINE_1 d_Male_96585.CEL,Allyl Alcohol,16 mg/kg,1 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393947,S011002-276_ALLYL ALCOHOL_25 mg/kg_INTRAPERITONEAL_SALINE_7 d_Male_96586.CEL,Allyl Alcohol,25 mg/kg,7 d,Saline,Liver,False,XXROGKLTLUQVRX,True,True,drugmatrix_liver
GSM1393948,S011106-286_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96587.CEL,Doxorubicin,3 mg/kg,5 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393949,S020122-268_BETA-ESTRADIOL 3-BENZOATE_0.25 mg/kg_SUBCUTANEOUS_CORN OIL_1 d_Male_96588.CEL,Beta-Estradiol 3-Benzoate,0.25 mg/kg,1 d,Corn Oil,Liver,False,UYIFTLBWAOGQBI,True,True,drugmatrix_liver
GSM1393950,S011106-234_INTRAVENOUS_SALINE_3 d_Male_96589.CEL,,0 mg/kg,3 d,Saline,Liver,True,,False,False,drugmatrix_liver
GSM1393951,S020506-284_EPIRUBICIN_2.7 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96590.CEL,Epirubicin,2.7 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393952,S011002-107_FENOFIBRATE_100 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96591.CEL,Fenofibrate,100 mg/kg,7 d,Corn Oil,Liver,False,YMTINGFKWWXKFG,True,True,drugmatrix_liver
GSM1393953,S011106-268_DOXORUBICIN_.65 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96592.CEL,Doxorubicin,0.65 mg/kg,1 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393954,S011106-285_DOXORUBICIN_3 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96593.CEL,Doxorubicin,3 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393955,S020415-301_BALSALAZIDE_1100 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96594.CEL,Balsalazide,1100 mg/kg,0.25 d,Water,Liver,False,IPOKCKJONYRRHP,True,True,drugmatrix_liver
GSM1393956,S011002-058_CLOFIBRATE_130 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96595.CEL,Clofibrate,130 mg/kg,7 d,Corn Oil,Liver,False,KNHUKKLJHYUCFP,True,True,drugmatrix_liver
GSM1393957,S011106-272_DOXORUBICIN_.65 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96596.CEL,Doxorubicin,0.65 mg/kg,3 d,Saline,Liver,False,AOJJSUZBOXZQNB,True,True,drugmatrix_liver
GSM1393958,S011002-108_FENOFIBRATE_100 mg/kg_ORAL GAVAGE_CORN OIL_7 d_Male_96597.CEL,Fenofibrate,100 mg/kg,7 d,Corn Oil,Liver,False,YMTINGFKWWXKFG,True,True,drugmatrix_liver
